STATE,ELECTORAL VOTE,ELECTORAL VOTE,POPULAR VOTE,POPULAR VOTE,POPULAR VOTE,POPULAR VOTE,over_18_pop
,Biden (D),Trunp (R),Biden (D),Trunp (R),All Others,Total Vote,Total by state
AL,,9,"849,624","1,441,170","32,488","2,323,282","3,977,628"
AK,,3,"153,778","189,951","15,801","359,530","557,899"
AZ,11,,"1,672,143","1,661,686","53,497","3,387,326","5,848,310"
AR,,6,"423,932","760,647","34,490","1,219,069","2,362,124"
CA,55,,"11,110,639","6,006,518","384,223","17,501,380","30,519,524"
CO,9,,"1,804,352","1,364,607","88,021","3,256,980","4,662,926"
CT,7,,"1,080,831","714,717","28,309","1,823,857","2,894,190"
DE,3,,"296,268","200,603","7,475","504,346","819,952"
DC,3,,"317,323","18,586","8,447","344,356","552,380"
FL,,29,"5,297,045","5,668,731","101,680","11,067,456","18,229,883"
GA,16,,"2,473,633","2,461,854","64,473","4,999,960","8,490,546"
HI,4,,"366,130","196,864","11,475","574,469","1,141,525"
ID,,4,"287,021","554,119","26,794","867,934","1,497,384"
IL,20,,"3,471,915","2,446,891","114,938","6,033,744","9,844,167"
IN,,11,"1,242,498","1,729,857","60,855","3,033,210","5,274,945"
IA,,6,"759,061","897,672","34,138","1,690,871","2,476,882"
KS,,6,"570,323","771,406","32,257","1,373,986","2,246,209"
KY,,8,"772,474","1,326,646","37,648","2,136,768","3,509,259"
LA,,8,"856,034","1,255,776","36,252","2,148,062","3,506,600"
ME,3,1,"435,072","360,737","23,652","819,461","1,146,670"
MD,10,,"1,985,023","976,414","75,593","3,037,030","4,818,337"
MA,11,,"2,382,202","1,167,202","81,998","3,631,402","5,659,598"
MI,16,,"2,804,040","2,649,852","85,410","5,539,302","7,925,350"
MN,10,,"1,717,077","1,484,065","76,029","3,277,171","4,436,981"
MS,,6,"539,398","756,764","17,597","1,313,759","2,259,864"
MO,,10,"1,253,014","1,718,736","54,212","3,025,962","4,821,686"
MT,,3,"244,786","343,602","15,286","603,674","897,161"
NE*,1,4,"374,583","556,846","24,954","956,383","1,497,381"
NV,6,,"703,486","669,890","32,000","1,405,376","2,508,220"
NH,4,,"424,937","365,660","15,608","806,205","1,150,004"
NJ,14,,"2,608,400","1,883,313","57,744","4,549,457","7,280,551"
NM,5,,"501,614","401,894","20,457","923,965","1,663,024"
NY,29,,"5,244,886","3,251,997","119,978","8,616,861","15,611,308"
NC,,15,"2,684,292","2,758,775","81,737","5,524,804","8,498,868"
ND,,3,"115,042","235,751","11,231","362,024","599,192"
OH,,18,"2,679,165","3,154,834","88,203","5,922,202","9,207,681"
OK,,7,"503,890","1,020,280","36,529","1,560,699","3,087,217"
OR,7,,"1,340,383","958,448","75,490","2,374,321","3,401,528"
PA,20,,"3,458,229","3,377,674","101,073","6,936,976","10,332,678"
RI,4,,"307,486","199,922","10,349","517,757","892,124"
SC,,9,"1,091,541","1,385,103","36,685","2,513,329","4,229,354"
SD,,3,"150,471","261,043","11,095","422,609","697,420"
TN,,11,"1,143,711","1,852,475","57,665","3,053,851","5,555,761"
TX,,38,"5,259,126","5,890,347","165,583","11,315,056","22,942,176"
UT,,6,"560,282","865,140","62,867","1,488,289","2,484,582"
VT,3,,"242,820","112,704","11,904","367,428","532,828"
VA,13,,"2,413,568","1,962,430","84,526","4,460,524","6,834,154"
WA,12,,"2,369,612","1,584,651","133,368","4,087,631","6,164,810"
WV,,5,"235,984","545,382","13,365","794,731","1,417,859"
WI,10,,"1,630,866","1,610,184","56,991","3,298,041","4,661,826"
WY,,3,"73,491","193,559","9,715","276,765","454,508"
Total:   ,306,232,"81,283,501","74,223,975","2,922,155","158,429,631",
,,,51.31%,46.85%,1.84%,,
