state,electoral_Biden,electoral_trump,pop_vote_Biden,pop_vote_Trump,pop_vote_all_others,total_vote,over_18_total,,,,,,,,,
AL,0,9,849624,1441170,32488,2323282,3977628,,,,,,,,,
AK,0,3,153778,189951,15801,359530,557899,,,,,,,,,
AZ,11,0,1672143,1661686,53497,3387326,5848310,,,,,,,,,
AR,0,6,423932,760647,34490,1219069,2362124,,,,,,,,,
CA,55,0,11110639,6006518,384223,17501380,30519524,,,,,,,,,
CO,9,0,1804352,1364607,88021,3256980,4662926,,,,,,,,,
CT,7,0,1080831,714717,28309,1823857,2894190,,,,,,,,,
DE,3,0,296268,200603,7475,504346,819952,,,,,,,,,
DC,3,0,317323,18586,8447,344356,552380,,,,,,,,,
FL,0,29,5297045,5668731,101680,11067456,18229883,,,,,,,,,
GA,16,0,2473633,2461854,64473,4999960,8490546,,,,,,,,,
HI,4,0,366130,196864,11475,574469,1141525,,,,,,,,,
ID,0,4,287021,554119,26794,867934,1497384,,,,,,,,,
IL,20,,3471915,2446891,114938,6033744,9844167,,,,,,,,,
IN,0,11,1242498,1729857,60855,3033210,5274945,,,,,,,,,
IA,0,6,759061,897672,34138,1690871,2476882,,,,,,,,,
KS,0,6,570323,771406,32257,1373986,2246209,,,,,,,,,
KY,0,8,772474,1326646,37648,2136768,3509259,,,,,,,,,
LA,0,8,856034,1255776,36252,2148062,3506600,,,,,,,,,
ME,3,1,435072,360737,23652,819461,1146670,,,,,,,,,
MD,10,0,1985023,976414,75593,3037030,4818337,,,,,,,,,
MA,11,0,2382202,1167202,81998,3631402,5659598,,,,,,,,,
MI,16,0,2804040,2649852,85410,5539302,7925350,,,,,,,,,
MN,10,0,1717077,1484065,76029,3277171,4436981,,,,,,,,,
MS,0,6,539398,756764,17597,1313759,2259864,,,,,,,,,
MO,0,10,1253014,1718736,54212,3025962,4821686,,,,,,,,,
MT,0,3,244786,343602,15286,603674,897161,,,,,,,,,
NE,1,4,374583,556846,24954,956383,1497381,,,,,,,,,
NV,6,0,703486,669890,32000,1405376,2508220,,,,,,,,,
NH,4,0,424937,365660,15608,806205,1150004,,,,,,,,,
NJ,14,0,2608400,1883313,57744,4549457,7280551,,,,,,,,,
NM,5,0,501614,401894,20457,923965,1663024,,,,,,,,,
NY,29,0,5244886,3251997,119978,8616861,15611308,,,,,,,,,
NC,0,15,2684292,2758775,81737,5524804,8498868,,,,,,,,,
ND,0,3,115042,235751,11231,362024,599192,,,,,,,,,
OH,0,18,2679165,3154834,88203,5922202,9207681,,,,,,,,,
OK,0,7,503890,1020280,36529,1560699,3087217,,,,,,,,,
OR,7,0,1340383,958448,75490,2374321,3401528,,,,,,,,,
PA,20,0,3458229,3377674,101073,6936976,10332678,,,,,,,,,
RI,4,0,307486,199922,10349,517757,892124,,,,,,,,,
SC,0,9,1091541,1385103,36685,2513329,4229354,,,,,,,,,
SD,0,3,150471,261043,11095,422609,697420,,,,,,,,,
TN,0,11,1143711,1852475,57665,3053851,5555761,,,,,,,,,
TX,0,38,5259126,5890347,165583,11315056,22942176,,,,,,,,,
UT,0,6,560282,865140,62867,1488289,2484582,,,,,,,,,
VT,3,0,242820,112704,11904,367428,532828,,,,,,,,,
VA,13,0,2413568,1962430,84526,4460524,6834154,,,,,,,,,
WA,12,0,2369612,1584651,133368,4087631,6164810,,,,,,,,,
WV,0,5,235984,545382,13365,794731,1417859,,,,,,,,,
WI,10,0,1630866,1610184,56991,3298041,4661826,,,,,,,,,
WY,0,3,73491,193559,9715,276765,454508,,,,,,,,,
